postId,variantId,flavor,audienceTrack,articleUrl,generatedPost
93,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html,"Rising rates have battered bond markets, but our portfolio managers see potential opportunities in fixed income. Learn why higher yields may create compelling entry points for investors seeking income. https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html"
93,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html,"Rising rates have battered bond markets, but are there opportunities worth considering? Our portfolio managers explore why higher yields might create compelling income potential for investors willing to look beyond the headlines."
93,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html,"With bond prices down sharply, fixed income may offer compelling opportunities for income-focused investors. Here's what our portfolio managers are watching as rates rise. https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html"
96,1,question_hook,content,https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html?sm_og_es_5812660283,"Companies are reshoring manufacturing operations, but is it really de-globalization? Our portfolio managers explain why the answer is more nuanced — and what it could mean for investors. https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html"
96,2,stat_lead,content,https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html?sm_og_es_5812660283,Only 63 of 338 companies surveyed have concrete plans to reshuffle their supply chains. The reshoring trend may unfold more slowly than expected — but the investment implications could be significant. https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html
96,3,contrarian,content,https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html?sm_og_es_5812660283,Companies aren't abandoning global supply chains — they're rewiring them. Here's what that shift means for investors. https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html
96,4,theme_summary,content,https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html?sm_og_es_5812660283,Companies are rewiring global supply chains to prioritize resilience over cost—reshaping where manufacturing happens and creating new investment opportunities around the world. https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html
97,1,question_hook,institutional,https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,"Market volatility is unsettling, but could it present opportunities for long-term investors? Capital Group portfolio managers share their views on positioning portfolios amid Fed tightening and geopolitical uncertainty. https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html"
97,2,stat_lead,institutional,https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,Market volatility has hit hard—44% of NASDAQ Composite stocks are down 50% or more from their 52-week highs. But is this correction creating opportunity? Capital Group's investment professionals share their views on positioning portfolios through the uncertainty. https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html
97,3,contrarian,institutional,https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,"Market corrections can feel unsettling, but our investment professionals see potential opportunity. While volatility may persist, history suggests equities have often powered through initial Fed tightening cycles. Learn why our team believes markets may be healthier than many realize. https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html"
97,4,theme_summary,institutional,https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,Market volatility has created selective opportunities for investors with long-term convictions. Capital Group portfolio managers explain how current conditions may help position portfolios for the next three to five years. https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html
99,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html,"While recession concerns dominate headlines, what if the real opportunity lies in what comes next? Our economist explores why the subsequent recovery could be stronger than many expect. #MidyearOutlook https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html"
99,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html,"A recession may be coming, but our economist expects a 1.0% GDP decline—considerably milder than the 4.5% decline during the 2007-2009 financial crisis. Here's why the recovery that follows could be stronger than expected. https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html"
99,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html,"While recession concerns dominate headlines, our economist sees a different story ahead. A stronger-than-expected recovery could be fueled by a resilient consumer sector. Here's why the next cycle may surprise many investors. https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html"
99,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html,"While a recession may be coming, a stronger-than-expected recovery could be on the horizon, driven by a resilient consumer sector and structural labor market shifts. Here's what our economist expects next. https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html"
104,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html,"Will the Fed pause rate hikes to avoid further banking sector damage, or keep tightening to fight inflation? Read our midyear economic outlook on the tough choices ahead for central banks—and what it could mean for a potential recession. https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html"
104,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html,Global economic growth is expected to decline roughly 1% this year before rebounding with fairly robust growth in 2024. Read Capital Group economist Jared Franz's outlook on the mild recession ahead and what it could mean for your clients' portfolios. https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html
104,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html,"A mild recession followed by strong recovery? That's not the consensus view. Read what our economist sees ahead for global growth, inflation and interest rates. https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html"
104,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html,"A mild recession is likely in the second half of 2023, followed by robust growth in 2024. Read our latest economic outlook from Capital Group's economists. https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html"
105,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html,"With the Fed signaling rate cuts ahead, is it time to reconsider your fixed income positioning? Explore five core bond themes that could reshape portfolios in 2024. https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html"
105,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html,"With inflation falling and the Fed signaling an end to rate hikes, yields on core bonds look more attractive than they have in a decade. Explore five themes shaping fixed income in 2024. https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html"
105,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html,"Conventional wisdom says avoid bonds when rates are falling. But with inflation approaching the Fed's 2% target and attractive yields still in place, core bonds may offer rare opportunity for both return and portfolio resilience in 2024. https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html"
105,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html,"Inflation is falling, rates could drop faster than expected, and core bonds now offer compelling risk-adjusted returns for 2024. Here are five themes shaping the fixed income landscape. https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html"
107,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,How will geopolitics reshape markets and economies in the years ahead? Three Capital Group investment professionals share their views on the Russia-Ukraine conflict and what it means for investors. https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html
107,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,"The Russia-Ukraine conflict has upended 30 years of relative peace and cooperation. How should investors respond? Capital Group's investment professionals share three perspectives on geopolitics, inflation, recession risk and opportunity. https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html"
107,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,Geopolitical shocks typically rattle markets. But history shows that long-term investors can still find opportunity amid the chaos. Read three perspectives on navigating today's environment. https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html
107,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,Geopolitics has returned as a major driver of world events. Read three perspectives on how the Russia-Ukraine conflict could reshape markets and economies. https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html
332,1,question_hook,institutional,https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html,What's driving the semiconductor industry's shift from shortage to surplus—and what does it mean for chip stocks? Our analyst breaks down five critical trends reshaping the sector. https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html
332,2,stat_lead,institutional,https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html,"Semiconductor stocks have experienced a sharp selloff, but one of our analysts believes the industry remains positioned for long-term growth. Here are five things to know about the future of semiconductors. https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html"
332,3,contrarian,institutional,https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html,"Semiconductor stocks have been battered, but one of our analysts argues the industry's fundamentals are stronger than they appear. Here's why this downturn may be different from past cycles. https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html"
332,4,theme_summary,institutional,https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html,"Despite the current downturn in chip stocks, our analyst believes semiconductors remain a secular growth industry positioned to benefit from powerful tailwinds including AI, electric vehicles and 5G adoption. https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html"
334,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html,"With inflation cooling and the Fed likely to pause, are bonds finally ready to do what they do best—balance your portfolio? Discover why diversification remains a powerful strategy amid economic uncertainty.

https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html"
334,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html,"Bonds are poised to offer balance in diversified portfolios as strong yields and a less hawkish Fed create new opportunities. Learn why diversification remains a powerful strategy even as markets navigate uncertainty ahead.

https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html"
334,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html,"Diversification may have taken a beating, but bonds are showing renewed potential as yields rise and the Fed signals a shift. With uncertainty still ahead, a balanced portfolio approach could be worth reconsidering.

https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html"
334,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html,"Bonds are poised to offer balance in diversified portfolios as yields rise and the Fed's hiking cycle nears its end. Read why diversification remains a critical strategy amid economic uncertainty.

https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html"
340,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html,"The Fed faces a dilemma: inflation demands higher rates, but a distorted labor market may not cooperate. Read how structural shifts in employment could complicate the central bank's path forward."
340,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html,"The U.S. has over 10 million job openings, yet the labor force participation rate sits at 1970s levels. What's really going on in the labor market — and how will it shape the Fed's next moves? Read our latest analysis."
340,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html,"The Fed faces a puzzle: inflation is soaring, but the labor market is distorted in ways that defy the usual playbook. Job openings are near record highs, yet millions aren't returning to work. How will this reshape monetary policy? https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html"
340,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html,The Fed faces a dilemma: tame inflation with rate hikes or support a labor market distorted by structural shifts. Read how this tension could reshape monetary policy.
342,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html,"With the Fed likely done hiking rates, are bonds finally poised for a comeback? Explore why 2024 could mark a turning point for fixed income investors. https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html"
342,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html,"With yields near 20-year highs and the Fed likely done hiking rates, bonds could be the comeback story of 2024. Explore opportunities across #FixedIncome sectors. https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html"
342,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html,"With the Fed likely done hiking rates, bonds may finally get their moment. High yields, cooling inflation, and a resilient economy create conditions that historically have favored fixed income. Explore the 2024 bond outlook. https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html"
342,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html,"With the Fed likely done hiking rates, bonds are positioned to deliver income and diversification in 2024. Explore opportunities across sectors from municipals to emerging markets. https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html"
392,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,Markets are shifting from narrow to broad leadership. What does that mean for your clients' portfolios? Our investment team highlights 10 themes shaping 2023 and beyond. https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html
392,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,Markets are shifting from narrow to broad leadership. Our investment team identified 10 themes shaping 2023—from the dividend resurgence to supply chain reshoring to the resilience of balanced portfolios. Read what our portfolio managers are watching. https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html
392,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,"Markets are shifting from narrow to broad leadership, and our investment team is tracking 10 themes that could reshape portfolios in this new era. Read what our portfolio managers are watching closest. https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html"
392,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,Markets are shifting from narrow to broad leadership. Here are 10 investment themes our portfolio managers are watching in 2023. https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html
394,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,What did a portfolio manager learn from the fastest bear market in history? Five lessons that could reshape how you think about investing today. https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html
394,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,A portfolio manager with 30+ years of experience weathered the pandemic's market turbulence and emerged with five key lessons. Learn what he's applying to his portfolios today. https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html
394,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,"A portfolio manager with 30+ years of experience shares five lessons from the pandemic—and why his outlook today looks remarkably similar to late 2019, despite being so dramatically wrong then. https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html"
394,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,A portfolio manager reflects on 30+ years of investing and the five lessons the pandemic taught him—and why they matter for your clients today. https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html
