postId,variantId,flavor,audienceTrack,articleUrl,generatedPost,voiceMatch,onTopic,hookStrength,compliance,complianceNotes,lengthChars,judgeRetries,judgeFlagged
104,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html,"A mild recession looms in the second half of 2023, but Capital Group's economist expects robust growth to follow in 2024. Read the latest economic outlook. https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html",5,5,4,pass,,245,0,False
105,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html,"With inflation falling and the Fed signaling an end to rate hikes, is now the time to move cash into core bonds? Explore five themes shaping fixed income in 2024. https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html",5,5,4,pass,,244,0,False
105,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html,"Inflation could fall within striking distance of the Fed's 2% target in the next 6-12 months. As the rate-hiking cycle winds down, core bonds may offer attractive opportunities for 2024. Explore five themes reshaping fixed income. https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html",5,5,4,pass,,312,0,False
105,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html,"With inflation falling and the Fed signaling an end to rate hikes, the bond landscape is becoming clearer. Yields remain attractive even after late 2023's rally. Explore five core bond themes for 2024. https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html",5,5,4,pass,,283,0,False
105,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html,"With inflation nearing the Fed's 2% target and rate cuts on the horizon, core bonds may offer a rare opportunity to increase returns while decreasing portfolio risk. https://www.capitalgroup.com/advisor/insights/articles/core-bond-themes-2024.html",4,5,4,pass,,247,0,False
107,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,How will geopolitics reshape markets and economies in a new era? Three Capital Group investment professionals share their views on the Russia-Ukraine conflict and what it means for investors. https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,5,5,5,pass,,283,0,False
107,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,The Russia-Ukraine conflict has pushed energy prices above $100 a barrel — a major headwind for markets. Capital Group's investment professionals share three views on what comes next for investors. https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,5,5,4,pass,,289,0,False
107,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,Geopolitical shocks typically rattle markets. But history shows investors can still find opportunity amid the chaos. Read three expert perspectives on navigating the Russia-Ukraine conflict. https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,5,5,5,pass,,282,0,False
107,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,Geopolitics has returned as a major driver of world events. Capital Group's investment professionals share three views on what the Russia-Ukraine conflict means for markets and economies. https://www.capitalgroup.com/advisor/insights/articles/3-views-russia-ukraine-conflict.html,5,5,5,pass,,279,0,False
332,1,question_hook,institutional,https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html,"What's driving the semiconductor industry's shift from shortage to surplus — and what does it mean for investors? Our analyst shares five key insights after visiting Taiwan, Japan and South Korea. https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html",5,5,5,pass,,291,0,False
332,2,stat_lead,institutional,https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html,"Semiconductors remain a secular growth industry despite recent headwinds. Our analyst shares five key insights on the future of chip manufacturing, supply chain dynamics and long-term demand drivers. https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html",5,5,4,pass,,294,0,False
332,3,contrarian,institutional,https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html,Semiconductor stocks have cratered on inventory concerns and geopolitical worries. But our analyst sees reasons for optimism. Here are five things to know about the future of the sector. https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html,5,5,4,pass,,281,0,False
332,4,theme_summary,institutional,https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html,"What's driving the semiconductor industry's future? Our analyst shares five key insights from recent conversations with company leaders across Taiwan, Japan and South Korea. https://www.capitalgroup.com/institutional/insights/articles/5-things-know-semiconductors.html",5,5,4,pass,,268,0,False
334,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html,"Is diversification still a viable strategy amid market uncertainty? Strong yields and moderating inflation are reshaping bond portfolios—but the road ahead remains bumpy. Read why bonds may offer the balance investors need.

https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html",5,5,5,pass,,336,1,False
334,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html,"Strong yields are making bonds attractive again as the Fed signals a potential pause. But with economic uncertainty ahead, diversification remains key. Discover why bonds may offer balance in volatile markets.

https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html",5,5,4,pass,,322,1,False
334,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html,"Diversification isn't dead—bonds are poised to offer portfolio balance again. As yields rise and Fed policy shifts, bonds may provide the stability investors need in uncertain times. Read why our portfolio managers see opportunity ahead.

https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html",5,5,4,pass,,350,0,False
334,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html,Bonds are poised to offer portfolio balance as yields rise and the Fed's hiking cycle nears its end—even as economic uncertainty persists. https://www.capitalgroup.com/advisor/insights/articles/diversification-not-dead-bonds-poised-offer-balance.html,5,5,4,pass,,250,0,False
340,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html,"The Fed needs to tame inflation, but a distorted labor market complicates the path forward. Are structural shifts in how Americans work making it harder for the central bank to achieve both price stability and full employment? Read our latest analysis.

https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html",5,5,5,pass,,330,0,False
340,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html,"The U.S. has more than 10 million job openings, yet labor force participation remains at 1970s levels. How will these labor market disruptions shape the Fed's next moves on inflation and rates? Read our analysis.",5,5,5,pass,,212,0,False
340,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html,"The Fed faces a dilemma: inflation is soaring, but the labor market is broken in ways that interest rate hikes won't fix. Read why structural disruptions in employment could complicate monetary policy in months ahead.

https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html",5,5,5,pass,,295,0,False
340,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/labor-market-fed.html,Labor market disruptions could complicate the Fed's inflation-fighting efforts. Read why structural shifts in employment may force a difficult policy choice between tackling prices and supporting full employment.,5,5,4,pass,,212,0,False
342,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html,"With the Fed likely done hiking rates, are bonds finally positioned for a comeback? Explore why 2024 could be the year fixed income returns to its core role of providing income and diversification. https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html",5,5,5,pass,,275,0,False
342,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html,"With the Fed likely done hiking rates, yields across bond sectors are near 20-year highs. Explore why bonds could be the comeback story of 2024. https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html",5,5,5,pass,,222,0,False
342,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html,"With the Fed likely done hiking rates, bonds could finally be the comeback story of 2024. Here's why now may be an attractive entry point for #FixedIncome allocations. https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html",5,5,5,pass,,245,0,False
342,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html,"With the Fed's rate-hiking cycle likely behind us, bonds are positioned to reclaim their traditional roles of income and portfolio diversification in 2024. Read our latest bond outlook. https://www.capitalgroup.com/advisor/insights/articles/2024-bond-outlook.html",5,5,4,pass,,263,0,False
392,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,Markets are shifting from narrow to broad leadership. What does that mean for your clients' portfolios? Our investment team highlights 10 themes shaping 2023—from dividend stocks and reshoring to core bonds and balanced strategies. https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,5,5,5,pass,,312,0,False
392,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,Markets are shifting from narrow to broad leadership. Our investment team identified 10 themes shaping portfolios in 2023 — from dividend stocks and reshoring opportunities to the resilience of balanced portfolios. https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,5,5,5,pass,,295,0,False
392,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,Markets are shifting from narrow to broad leadership. Our portfolio managers share 10 investment themes reshaping portfolios in 2023 — and why this new era may look nothing like the last decade. https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,5,5,5,pass,,275,0,False
392,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,Markets are shifting from narrow to broad leadership. Our investment team highlights 10 themes shaping portfolios in 2023 and beyond. https://www.capitalgroup.com/advisor/insights/articles/10-investment-themes.html,5,5,5,pass,,214,0,False
394,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,What did a 30-year investing veteran learn from the fastest bear market in history? Read five lessons from the pandemic that are shaping portfolios today. https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,5,5,5,pass,,244,0,False
394,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,A portfolio manager with 30+ years of experience lived through 21 market disruptions—and learned five critical lessons during the pandemic that still guide his investing today. https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,5,5,5,pass,,266,0,False
394,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,Market disruptions happen roughly every 18 months. A portfolio manager with 30+ years of experience shares five lessons from the pandemic—and how they're shaping his investing approach today. https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,5,5,5,pass,,281,0,False
394,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,A portfolio manager with 30 years of experience shares five investment lessons from the pandemic—and how they're shaping his approach today. https://www.capitalgroup.com/advisor/insights/articles/5-investment-lessons-pandemic.html,5,5,5,pass,,230,0,False
